"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_user_service","","","","test_service_should_successfull_delete_existed_user",""
"passed","Thu Feb 26 23:05:55 UTC 2026","Thu Feb 26 23:05:55 UTC 2026","14","tests.integration.session_serv","test_change_transport_session_it","","","","test_change_transport_success",""
"passed","Thu Feb 26 23:05:55 UTC 2026","Thu Feb 26 23:05:55 UTC 2026","6","tests.integration.event_serv","test_add_existen_event_it","","","","test_add_event_duplicate_id",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_session_service","","","","test_should_successfull_get_sessions_by_type",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_user_service","","","","test_service_should_throw_exception_at_get_not_existed_user",""
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","2","tests.integration.session_serv","test_get_by_id_non_existen_session_it","","","","test_get_session_by_id_not_found",""
"passed","Thu Feb 26 23:05:55 UTC 2026","Thu Feb 26 23:05:55 UTC 2026","2","tests.integration.lodging_serv","test_update_existen_lodging_it","","","","test_update_existing_accommodation",""
"passed","Thu Feb 26 23:05:54 UTC 2026","Thu Feb 26 23:05:54 UTC 2026","1","tests.integration.venue_serv","test_get_non_exiting_venue_it","","","","test_get_non_existing_venue_returns_none",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_session_service","","","","test_should_successfull_get_all_sessions",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_builders","TestLodgingBuilder","","","test_update_cheap_lodging_via_builder","Позитивный тест: обновление бюджетного размещения через Builder."
"passed","Thu Feb 26 23:07:15 UTC 2026","Thu Feb 26 23:07:17 UTC 2026","2118","tests.steps","test_recovery_steps","","","","test_разблокировка_после_восстановления_пароля","/home/runner/work/event-manager/event-manager/tests/features/recovery.feature: Разблокировка после восстановления пароля"
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_builders","TestActivityMother","","","test_delete_nonexistent_activity_using_mother","Негативный тест: удаление несуществующей активности."
"passed","Thu Feb 26 23:05:53 UTC 2026","Thu Feb 26 23:05:53 UTC 2026","1","tests.integration.lodging_serv","test_update_lodging_it","","","","test_update_accommodation_raises",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_search_events_success",""
"passed","Thu Feb 26 23:07:10 UTC 2026","Thu Feb 26 23:07:11 UTC 2026","1316","tests.steps","test_password_rotation_steps","","","","test_смена_пароля_при_истечении_срока","/home/runner/work/event-manager/event-manager/tests/features/password_rotation.feature: Смена пароля при истечении срока"
