scenario,request_id,timestamp_sec,latency_ms
json_serialization,0,0.001,52.671
json_serialization,1,0.009,46.190
json_serialization,2,0.009,46.958
json_serialization,3,0.009,48.613
json_serialization,4,0.010,49.645
json_serialization,5,0.053,7.346
json_serialization,6,0.055,7.341
json_serialization,7,0.056,7.308
json_serialization,8,0.058,17.876
json_serialization,9,0.059,17.653
json_serialization,10,0.061,17.472
json_serialization,11,0.062,17.612
json_serialization,12,0.064,18.761
json_serialization,13,0.076,20.761
json_serialization,14,0.077,19.561
json_serialization,15,0.078,18.292
json_serialization,16,0.080,16.617
json_serialization,17,0.082,16.856
json_serialization,18,0.097,12.848
json_serialization,19,0.097,12.382
json_serialization,20,0.097,12.658
json_serialization,21,0.097,13.803
json_serialization,22,0.099,12.995
json_serialization,23,0.009,105.074
json_serialization,24,0.010,107.784
json_serialization,25,0.010,112.068
json_serialization,26,0.010,113.515
json_serialization,27,0.010,115.869
json_serialization,28,0.110,17.162
json_serialization,29,0.111,17.184
json_serialization,30,0.113,17.613
json_serialization,31,0.110,21.419
json_serialization,32,0.126,8.212
json_serialization,33,0.115,23.736
json_serialization,34,0.125,16.992
json_serialization,35,0.123,30.011
json_serialization,36,0.121,32.864
json_serialization,37,0.129,27.409
json_serialization,38,0.135,23.372
json_serialization,39,0.110,48.182
json_serialization,40,0.132,32.392
json_serialization,41,0.131,37.978
json_serialization,42,0.127,43.319
json_serialization,43,0.139,32.857
json_serialization,44,0.142,32.014
json_serialization,45,0.164,30.900
json_serialization,46,0.156,38.977
json_serialization,47,0.158,37.104
json_serialization,48,0.159,36.600
json_serialization,49,0.153,44.570
json_serialization,50,0.154,44.680
json_serialization,51,0.169,30.563
json_serialization,52,0.171,33.517
json_serialization,53,0.172,37.601
json_serialization,54,0.174,36.251
json_serialization,55,0.198,14.444
json_serialization,56,0.196,17.273
json_serialization,57,0.201,15.268
json_serialization,58,0.205,16.223
json_serialization,59,0.197,26.911
json_serialization,60,0.213,16.957
json_serialization,61,0.211,22.644
json_serialization,62,0.196,39.899
json_serialization,63,0.221,15.240
json_serialization,64,0.214,24.158
json_serialization,65,0.216,25.755
json_serialization,66,0.199,49.684
json_serialization,67,0.211,37.966
json_serialization,68,0.197,53.610
json_serialization,69,0.224,30.120
json_serialization,70,0.230,26.740
json_serialization,71,0.238,26.466
json_serialization,72,0.237,27.771
json_serialization,73,0.234,32.107
json_serialization,74,0.237,29.032
json_serialization,75,0.242,30.136
json_serialization,76,0.249,25.016
json_serialization,77,0.249,28.093
json_serialization,78,0.250,28.807
json_serialization,79,0.257,26.249
json_serialization,80,0.254,28.826
json_serialization,81,0.267,22.210
json_serialization,82,0.267,21.828
json_serialization,83,0.265,25.119
json_serialization,84,0.265,33.779
json_serialization,85,0.272,26.244
json_serialization,86,0.283,29.020
json_serialization,87,0.274,37.908
json_serialization,88,0.289,24.883
json_serialization,89,0.279,37.396
json_serialization,90,0.283,33.583
json_serialization,91,0.289,30.152
json_serialization,92,0.277,42.750
json_serialization,93,0.290,31.120
json_serialization,94,0.299,25.396
json_serialization,95,0.299,27.151
json_serialization,96,0.319,10.236
json_serialization,97,0.317,28.939
json_serialization,98,0.312,33.800
json_serialization,99,0.312,33.579
json_serialization,100,0.317,28.889
json_serialization,101,0.320,27.391
json_serialization,102,0.321,35.664
json_serialization,103,0.314,45.002
json_serialization,104,0.324,35.804
json_serialization,105,0.326,38.038
json_serialization,106,0.329,35.392
json_serialization,107,0.346,23.198
json_serialization,108,0.346,30.006
json_serialization,109,0.347,33.219
json_serialization,110,0.357,25.431
json_serialization,111,0.348,34.783
json_serialization,112,0.347,37.221
json_serialization,113,0.359,28.788
json_serialization,114,0.360,30.533
json_serialization,115,0.364,32.751
json_serialization,116,0.365,32.414
json_serialization,117,0.370,28.643
json_serialization,118,0.376,25.670
json_serialization,119,0.380,23.510
json_serialization,120,0.383,27.745
json_serialization,121,0.384,30.632
json_serialization,122,0.383,36.016
json_serialization,123,0.388,32.873
json_serialization,124,0.391,38.111
json_serialization,125,0.398,41.127
json_serialization,126,0.397,42.156
json_serialization,127,0.397,42.566
json_serialization,128,0.402,44.182
json_serialization,129,0.404,47.276
json_serialization,130,0.419,39.072
json_serialization,131,0.410,47.768
json_serialization,132,0.415,44.720
json_serialization,133,0.421,40.334
json_serialization,134,0.429,37.092
json_serialization,135,0.440,30.040
json_serialization,136,0.440,31.574
json_serialization,137,0.440,32.367
json_serialization,138,0.446,30.246
json_serialization,139,0.451,26.558
json_serialization,140,0.458,20.470
json_serialization,141,0.459,26.844
json_serialization,142,0.460,25.943
json_serialization,143,0.466,28.037
json_serialization,144,0.461,33.178
json_serialization,145,0.470,25.546
json_serialization,146,0.472,25.630
json_serialization,147,0.473,25.241
json_serialization,148,0.476,23.118
json_serialization,149,0.479,24.297
json_serialization,150,0.478,26.288
json_serialization,151,0.485,23.497
